"Abasov, Nijat"
"Abramovic, Bosko"
"Acs, Peter"
"Adams, Michael"
"Addison, Wiliam G."
"Adhiban, B."
"Adianto, Utut"
"Adorjan, Andras"
"Afromeev, Vladimir"
"Agdestein, Simen"
"Agrest, Evgenij"
"Agzamov, Georgy T."
"Akobian, Varuzhan"
"Akopian, Vladimir"
"Alburt, Lev O."
"Aleksandrov, Aleksej"
"Alekseenko, Kirill"
"Alekseev, Evgeny"
"Almasi, Zoltan"
"Alterman, Boris"
"Amin, Bassem"
"Amonatov, Farrukh"
"Anand, Viswanathan"
"Anastasian, Ashot"
"Andersson, Ulf"
"Andreikin, Dmitry"
"Annakov, Babakuli"
"Anton Guijarro, David"
"Antoshin, Vladimir S."
"Arbakov, Valentin"
"Arencibia, Walter"
"Areshchenko, Alexander"
"Arkhipov, Sergey"
"Arnason, Jon L."
"Aronian, Levon"
"Artemiev, Vladislav"
"Aseev, Konstantin N."
"Asrian, Karen"
"Atalik, Suat"
"Aung, Aung"
"Averbakh, Yuri L."
"Averkin, Orest N."
"Avrukh, Boris"
"Azarov, Sergei"
"Azmaiparashvili, Zurab"
"Baburin, Alexander"
"Bachmann, Axel"
"Bacrot, Etienne"
"Bagirov, Vladimir"
"Baklan, Vladimir"
"Balashov, Yuri S."
"Balogh, Csaba"
"Barbero, Gerardo F."
"Barcza, Gedeon"
"Barczay, Laszlo"
"Bareev, Evgeny"
"Barlov, Dragan"
"Bartel, Mateusz"
"Barua, Dibyendu"
"Bauer, Christian"
"Beliavsky, Alexander G."
"Belov, Vladimir"
"Benjamin, Joel"
"Benko, Pal C."
"Berkes, Ferenc"
"Bilek, Istvan"
"Bisguier, Arthur B."
"Bluebaum, Matthias"
"Bobotsov, Milko G."
"Bocharov, Dmitry"
"Boensch, Uwe"
"Bolbochan, Julio"
"Boleslavsky, Isaak"
"Bologan, Viktor"
"Borges Mateos, Juan"
"Botvinnik, Mikhail"
"Bronstein, David I."
"Browne, Walter S."
"Bruzon Batista, Lazaro"
"Bu, Xiangzhi"
"Bukavshin, Ivan"
"Bukic, Enver"
"Bunzmann, Dimitrij"
"Byrne, Donald"
"Byrne, Robert E."
"Campora, Daniel H."
"Carlsen, Magnus"
"Caruana, Fabiano"
"Cebalo, Miso"
"Chandler, Murray G."
"Chekhov, Valery A."
"Cheparinov, Ivan"
"Chernin, Alexander"
"Chiburdanidze, Maia"
"Christiansen, Larry M."
"Chuchelov, Vladimir"
"Cifuentes Parada, Roberto"
"Ciocaltea, Victor"
"Ciric, Dragoljub M."
"Conquest, Stuart"
"Cordova, Emilio"
"Cori, Jorge"
"Crisan, Alexandru"
"Csom, Istvan"
"Cvitan, Ognjen"
"Damjanovic, Mato"
"Damljanovic, Branko"
"Darga, Klaus"
"Dautov, Rustem"
"De Firmian, Nick E."
"Degraeve, Jean-Marc"
"Delchev, Aleksander"
"Dely, Peter"
"Demchenko, Anton"
"Dementiev, Oleg I."
"Diez Del Corral, Jesus"
"Ding, Liren"
"Djuric, Stefan"
"Dlugy, Maxim"
"Dokhoian, Yury"
"Dolmatov, Sergey"
"Dominguez Perez, Leinier"
"Donchenko, Alexander"
"Donchev, Dimitar I."
"Donner, Jan-Hein"
"Dorfman, Josif D."
"Dreev, Aleksey"
"Dubov, Daniil"
"Duda, Jan-Krzysztof"
"Dvoirys, Semen I."
"Dvoretzky, Mark"
"Dzindzikhashvili, Roman"
"Edouard, Romain"
"Efimenko, Zahar"
"Ehlvest, Jaan"
"Eingorn, Vereslav S."
"Eliskases, Erich"
"Eljanov, Pavel"
"Epishin, Vladimir"
"Erdos, Viktor"
"Ermenkov, Evgenij"
"Ernst, Thomas"
"Esipenko, Andrey"
"Espig, Lutz"
"Euwe, Max"
"Evans, Larry M."
"Farago, Ivan"
"Fedorchuk, Sergey A."
"Fedorov, Alexei"
"Fedorowicz, John P."
"Fedoseev, Vladimir"
"Felgaer, Ruben"
"Feller, Sebastien"
"Fier, Alexandr"
"Filip, Miroslav"
"Filippov, Anton"
"Filippov, Valerij"
"Firouzja, Alireza"
"Fischer, Robert James"
"Flear, Glenn C."
"Flesch, Janos"
"Flohr, Salomon"
"Fominyh, Alexander"
"Forintos, Gyozo V."
"Franco Ocampos, Zenon"
"Fressinet, Laurent"
"Fridman, Daniel"
"Ftacnik, Lubomir"
"Furman, Semyen A."
"Gagunashvili, Merab"
"Gajewski, Grzegorz"
"Galkin, Alexander"
"Ganguly, Surya Shekhar"
"Garcia Gonzales, Guillermo"
"Garcia Palermo, Carlos"
"Gareev, Timur"
"Gashimov, Vugar"
"Gavrikov, Viktor"
"Gelfand, Boris"
"Geller, Efim P."
"Georgiev, Kiril"
"Ghaem Maghami, Ehsan"
"Gharamian, Tigran"
"Gheorghiu, Florin"
"Ghitescu, Theodor"
"Giorgadze, Giorgi"
"Giorgadze, Tamaz"
"Gipslis, Aivars"
